geracao;minFitness;maxFitness;avgFitness;time
173;19247;26662;21280;1.370717
174;19247;25720;21138;1.375539
175;19247;26176;20862;1.379677
176;19247;26020;21387;1.384003
177;19247;26107;20885;1.387969
178;19247;25931;20938;1.391805
179;19247;25949;20944;1.395577
180;19175;26563;20895;1.399515
181;19175;26005;20817;1.403663
182;19175;26172;20747;1.408253
183;19175;26189;20695;1.413159
184;19168;25923;20681;1.418564
185;19168;26201;21106;1.424073
186;19159;26511;20908;1.429561
187;19159;25661;20828;1.435054
188;19159;26113;20849;1.440470
189;19159;26323;21044;1.446855
190;19159;26392;20926;1.453938
191;19111;26328;20690;1.461311
192;19111;27004;20944;1.468688
193;19100;26340;20899;1.476134
194;19091;26824;21142;1.483910
195;19063;26459;21165;1.491272
196;19034;26363;20714;1.499403
197;19026;26375;20684;1.507000
198;19026;26130;20769;1.514494
199;19026;25985;20624;1.521889
200;19018;27054;20764;1.529283
201;19018;26318;20615;1.536612
202;19015;26357;20924;1.544250
203;18950;26106;20855;1.551564
204;18946;25680;20797;1.559029
205;18946;26599;20703;1.566390
206;18938;26078;20943;1.573985
207;18931;26614;20656;1.581449
208;18897;26457;20777;1.589039
209;18890;26234;20526;1.596312
210;18890;26026;20854;1.603618
211;18890;26151;20654;1.610887
212;18855;26298;20721;1.618235
213;18848;26571;20670;1.625608
214;18830;26218;20379;1.633040
215;18823;26492;20563;1.640367
216;18790;26190;20669;1.647934
217;18782;25720;20570;1.655543
218;18758;26111;20746;1.663323
219;18733;26254;20569;1.670733
220;18705;26321;20385;1.678259
221;18704;26558;20729;1.685776
222;18704;26101;20679;1.693324
223;18695;26505;20336;1.700589
224;18683;26218;20501;1.707869
225;18646;26386;20401;1.715265
226;18624;26507;20440;1.722483
227;18624;26966;20629;1.729870
228;18568;26142;20374;1.737177
229;18543;26032;20424;1.744907
230;18543;26051;20401;1.752171
231;18530;26124;20457;1.760409
232;18528;26043;20327;1.769029
233;18519;26190;20523;1.777596
234;18508;26532;20452;1.786168
235;18480;26049;20454;1.794770
236;18456;25979;20506;1.803313
237;18456;26022;20477;1.811796
238;18451;26570;20272;1.820474
239;18451;26349;20656;1.828993
240;18451;26113;20186;1.837367
241;18447;26279;20371;1.845280
242;18417;26027;20165;1.851553
243;18417;26630;20523;1.856961
244;18413;25797;20163;1.862009
245;18411;26504;20254;1.866423
246;18411;26126;20339;1.870634
247;18407;26168;20579;1.874401
248;18407;25931;20482;1.878165
249;18407;26788;20442;1.882037
250;18407;26193;20374;1.886308
251;18407;26324;20555;1.890026
252;18407;26205;20361;1.893679
253;18407;25837;20480;1.897501
